Delta,Theta,Alpha,Beta,Gamma
1.1305888977663965,0.692626137625933,0.1973373871525851,0.2735214202089874,0.1906419286740739
0.8964799988016052,0.3045986574378328,0.09975525327737166,-0.008818354504485829,-0.06775559923138685
0.5688831547346935,0.23759074063399535,0.19141294644320725,-0.04862522820323208,-0.09530473505320285
0.18313014603730823,0.3429339426292427,0.3119833275572798,0.07754159169031875,-0.10139168605109901
0.1274686979428809,0.4378834046572876,0.28567212279768855,0.2013057411682628,-0.06715477935704527
0.3474468489679582,0.39824566702325054,0.10328374608700361,0.13744702294450406,0.012405285162428102
0.43510242153113216,0.26705445670485256,-0.045082145211049335,0.0464354555443582,0.05055987993745464
0.35658130107987174,0.23189137393133288,0.0003212004515586975,0.01631064695656589,-0.007885260628543165
0.14909844607523012,0.5448770449469601,0.21719429090995732,0.011528795557519645,0.12058277660307921
0.7983834661356348,0.7704874669790227,0.41152898417102085,0.11017290364577187,0.17778467673796852
1.2096476109162833,1.222556993900168,0.8031792785818185,0.2534971376691956,0.06545154434227808
1.4242218354158895,1.3088472128873287,0.8860662015610865,0.421105847193662,0.1279662743799829
1.4984945749669225,1.1341090959764806,0.9544025636698698,0.6584221561895249,0.35236391869891365
1.9375906545691428,1.3205431292013152,1.467805902081479,0.8688922997292173,0.4641986087444774
2.1589850014566148,1.7833218374237858,1.7791696383874254,1.19020092170023,0.7233500355553044
2.2543042540516014,1.9858742561332479,1.8050090625018953,1.3979195893500191,0.9268015611235676
2.284890496605467,1.9107631435479782,1.7106081205719628,1.382209203476927,0.9310933847849822
2.2580722802045257,1.7725954462434843,1.4300680897838232,1.1115962012472886,0.7208256359880248
2.202087694419149,1.6096592272633623,1.2600549618012715,1.05367386222725,0.8873849294447949
2.317384794672864,1.5396995513582075,1.3305346256132204,1.346713295303226,1.1986298526188761
2.315872696753741,1.689617870772605,1.2864932600755048,1.3273272971253787,1.1959581388903437
2.340443119349977,1.7504945509221637,1.1036589258488299,0.9794246116987685,0.8798648389455394
2.196420965498296,1.748038263755472,1.1364907556675021,0.9627583975027799,0.9793775062213766
1.9325349567282033,1.8240503822775584,1.4312048647812738,1.1482435637015675,1.1722603493797925
1.9797767152752463,1.6757369891026639,1.570447738532508,1.0478304892214751,1.0346652607361795
1.8269276415410298,1.5636870100212759,1.3949362113180455,0.7260519652982718,0.48961732909928646
1.6745475227203448,1.648004354394009,0.8712420515530721,0.5777635719298638,-0.00010681459151654893
1.4592259455102334,1.6026627715205264,0.6436409458365755,0.3797476565863546,0.09140244071668281
1.48537883930451,1.2522260683491147,0.7185080001498402,0.21877099695356858,0.09911953603256694
1.3240162791731167,1.180896045314781,0.8581288273159986,0.1022001694732314,0.007266194358812712
