Delta,Theta,Alpha,Beta,Gamma
0.5144869185256559,0.155892610085058,0.38584188764207195,0.6081338813200794,0.4392982814372439
0.2861369866674955,0.227748654744326,0.3912859156302846,0.6330483736773455,0.5264020463646842
0.1792472557102889,0.12367904021812676,0.39389476085102065,0.6050402583816535,0.5144389637105498
0.1749426691591157,0.22041768523384278,0.42318280188500307,0.6008297858684942,0.47393155736050635
0.02226922525436592,0.39056798610169347,0.5372542177701018,0.6085490408473082,0.43356983763509144
0.20132953940629658,0.3541147165676755,0.5632285051516485,0.5423427264015592,0.5040097400322604
0.11015159550543285,0.12253471817011595,0.5006753879691821,0.5328276961310013,0.5550443208809293
0.06445220273566596,0.18473861159459531,0.3969651195351751,0.6200746014964897,0.463564333704127
-0.06436826935299414,0.42436852905693545,0.32292260066142464,0.6437731068669417,0.5092175096832637
-0.030828427519607845,0.41700661145715034,0.3619294413392179,0.646453824091153,0.5357319996425799
0.23916803629959016,0.20890164915921572,0.406736129053502,0.639339720394377,0.5006791386708163
0.38506810424875015,0.19346218272732887,0.4356382614936111,0.5866326722636431,0.40515359444181026
0.43807550332992096,0.1339425701721836,0.46019974786988715,0.5986045183837839,0.4969231529263634
0.3326707874876026,-0.05407448302398827,0.43840705369342114,0.563032755833775,0.4570559872892443
1.736553024149208,0.991316740930433,0.909760185438248,0.7454965289718848,0.5754574379283897
2.0784152795516677,1.5724300257305226,1.5237793221931524,1.1035139215668321,1.0102730776180868
2.325991469896447,1.8223019566552179,1.8496611733399795,1.3733348335242572,1.263298759558267
2.3049159536410033,1.7884500590818635,1.8518130916341322,1.462224214243316,1.305592739355796
2.0034757126506713,1.6266300280100976,1.5592121292026548,1.3481696630656759,1.1729405119544758
1.648844835329135,1.4601924195106843,1.265619456956473,1.3527676902985701,1.2842111878111346
1.541906522037149,1.4216561600117061,1.3461928918192239,1.4454450363873184,1.3831688928751509
1.8530313365929487,1.169700629469164,1.3167698805987549,1.5055060552251307,1.4085434653419193
2.240740169443847,1.653185618338311,1.1798500349181806,1.4125989797609082,1.331350819784251
2.3867515886538824,2.006080345959512,1.4680172598608234,1.358627130665031,1.274416106416041
2.3653197834121444,2.060493493202381,1.6249218323541956,1.36518053711054,1.2687773141435008
2.397486467759702,2.0807908283802856,1.7039299861149928,1.4553049869221397,1.136297711712964
2.5181382495036324,2.156478433705025,1.774895689596119,1.5095258923462056,1.2497192379896291
2.5086051046624243,2.295863806414046,1.8013420534018612,1.458055102590859,1.3938116503069933
2.446708386274741,2.251675836795868,1.783535951638538,1.4669532978196966,1.3215387449693226
2.362319771556164,1.95037361251079,1.5881722101459883,1.2609546685398383,1.0199618892489284
2.337159274082051,1.5705164101017233,1.589712904988542,1.170660290395106,1.1264130941690347
2.2400405383221185,1.5905870651986191,1.650867310634786,1.2616738652576376,1.2285410061173623
2.4543340678150907,1.7807570857583637,1.6577806000112996,1.3137133321799994,1.2036449807848417
2.5498548998794637,2.0337412519344604,1.6599982974430396,1.5013800563402173,1.1633940556094244
2.4999810032956846,2.14814022684899,1.6840236409281255,1.5138361727731555,1.226222713556806
2.587466174804886,1.9418675145570892,1.5871774667455516,1.2500890449139874,1.0492354753146442
2.5708254327239177,1.9952868136269764,1.7399485362481286,1.3351262142830806,0.7616629552131475
2.6195887853785416,2.080229549997947,1.825964160334612,1.3821186057951163,1.0036318685024679
2.5668302653386146,1.938601939495132,1.765666376509488,1.1646616911387935,1.1931930880762194
2.4524766618116507,1.8609523638959482,1.6852059358026557,1.2205511856776043,1.1733136951222447
2.2990128425718823,1.829668513102102,1.5299550553763541,1.3709155181384838,1.2512342721018308
1.9902063591378,1.5944864113717407,1.4162738218096251,1.4234355828351113,1.3783871485677006
1.6932991721197417,1.4530761052534982,1.4132823718773115,1.4551990988120849,1.3556338890645174
1.8682844977003399,1.460182888369506,1.5211919220416827,1.3272037278634468,1.2203775702831685
2.072279012455853,1.4871961184338445,1.3796008668265867,1.0831568892338683,0.966665136691317
2.2021802998949593,1.445942173939165,0.910581157595262,0.8436162900949199,0.6189745085299978
2.1284260299877413,1.2653222311538623,0.8546171531346919,1.0090628345946981,0.8452327734673536
1.9652292017201651,1.368171835669955,1.127899662159648,1.3721186346908958,1.2429525787735498
1.695585895975616,1.411643783894646,1.2406568166968115,1.5185151313456589,1.4040198273987476
1.306715259534889,1.3418683063352987,1.1980348764712978,1.5292793460919074,1.47265095359719
1.3048983881130063,1.0905964651870013,1.2231030524336948,1.5279714558322413,1.5136162790274568
1.0161985621214138,1.0050534399717743,1.3326518352196755,1.4855821450531255,1.4361470713893651
1.0560790638527882,1.2994218935863373,1.2840384338717936,1.4209918713252148,1.2963305001974315
