Delta,Theta,Alpha,Beta,Gamma
2.4618555937417783,1.976833762971042,1.7333870543903742,1.4392435837976816,1.30321958467866
2.467523414505948,1.9472819162807553,1.665746321138949,1.3469425916377709,1.2446233369066737
2.1726837166678803,1.4892365185496448,1.2778847284836492,0.9122210204125342,0.8203340682924423
1.616952480938876,1.1282982581762497,1.0208084415332883,0.48331003248850146,0.21251396199626935
2.3600993939721424,1.7885187436171122,1.5080025122781606,1.0790305140229162,0.3047206597629783
2.562651428159714,2.0560115830560433,1.7856107491679212,1.3730810897841357,0.7207952600297065
2.5742515714842655,2.0784359983466247,1.8043526991371066,1.476699788617668,1.0417093258937835
2.5815471447893916,2.0510151216713384,1.815617878521169,1.442867728408107,1.1193977497582699
2.541793355141929,2.0411581185427665,1.7473106123880682,1.248505978413436,1.034757351687049
2.595624249976615,1.7919333910830153,1.6046665065791053,1.177762769039136,0.8504600094966889
2.5597165538827613,2.0535334193354777,1.7900898401965537,1.4399194692364232,1.0550975274177483
2.5201502441207273,2.026773576902614,1.7429333312578452,1.4085395289495146,1.042750024727986
2.2235934320199844,1.7506179934000996,1.6518556720294584,1.2139175515509286,1.0972432108690584
1.7206144324223613,1.7815256213644357,1.7081524801109638,1.2791925201202055,1.1708112831356092
2.039440277350599,1.5889952497296822,1.4827128876401838,1.091716948692334,0.937832258705085
2.4689155578145137,1.913610718835634,1.662857554909093,1.2765535528813925,0.7694650847348109
2.6061083870005493,2.0767393917620596,1.8472131430245455,1.44873267729692,0.9093489650058608
2.6344276456623503,2.0444793770389804,1.8625107229265483,1.4208006747134947,0.7622916732187436
2.5273963121489054,2.080550510403444,1.966283230125314,1.4493579535615317,0.9575911661089355
2.4325055924212955,2.359888507648962,2.075114569254738,1.6057824677067176,1.2872961995141605
2.266664684754438,2.4688197247470662,1.9997969314844903,1.6379147185907166,1.3763596279474601
2.395969422479634,2.318759425589062,1.7192447445698205,1.4598888060805189,1.3256280995011331
2.3047863644123336,1.9888556338337395,1.4664498363255993,1.041916670247086,1.0983656381971767
2.226408571503831,1.2351242734941212,1.0226677359969598,0.6965658671712196,0.517066964001968
2.447923104021995,1.9052242040408145,1.648771052900202,1.2921710619127567,0.8971723810956369
2.508482779617396,2.079039288180023,1.813260056505743,1.4622024646106666,1.0860687904932267
2.5233670280091878,1.9108724524840088,1.658918203145228,1.3628722887965945,0.9607422005983914
2.247843832154394,1.7869376773261787,1.9496911244971369,1.5938102821134081,1.1100867952909406
2.220707887748427,1.9687087663793363,2.1397978297635682,1.77261652369656,1.3410031597718295
2.3175065158147037,2.2586401222047665,2.026883219108447,1.7208582566332167,1.3321780748192598
2.2514736961285227,2.4014500870655255,1.9558872570338615,1.669053143846317,1.2809085493576862
2.3759461474189254,2.365261017067699,2.066111096071996,1.6593351913034242,1.279795938499656
2.3522599317525654,2.4018709786457304,2.151126500535885,1.5955698834229386,1.303089266585374
2.535279063166698,2.312084594871535,2.059635656003867,1.548714455394692,1.4247417093090398
2.4856350966019876,1.9999277243696276,1.8119591582038406,1.4189128712272834,1.4300773593127039
2.3520612397762344,1.67615402553424,1.4507919132005418,1.0460557164307105,1.1275248483398586
2.377297958715632,1.7352374663277845,1.4622067384523276,1.0804580234095866,0.6011855174293803
2.5255997707408766,2.04984737739492,1.7910289213867596,1.4022796539221314,0.892302990628816
2.598449736360192,2.057005861442735,1.8066930100565786,1.4083475466608437,0.9260282530801727
2.5212710669597964,2.1830493329503025,1.858155588287478,1.4995404101643932,1.140499024562854
2.4826104420122763,2.4331476640493603,1.9390103912174945,1.6493736417515275,1.2383378982830975
2.2813820519822743,2.47301599485787,1.957188771675363,1.6937481643366556,1.26915682061875
2.29165803130579,2.3076107411698126,2.0370705557863786,1.735836407972682,1.2789718422377958
2.3653716515380565,2.3069695999916595,1.8799495027547422,1.7176246694222872,1.3002915680702014
2.389240108351885,2.3119400589897507,1.9123859084882446,1.662779657463668,1.2224318942692303
2.434031213761528,2.1513097774196526,2.218809492397589,1.7127576765654475,1.2077283743632017
2.466531866832222,2.118236176580661,2.250974513493083,1.7092873924520362,1.2644499076347695
2.5275472598614783,2.0683835545189986,2.001613748197306,1.5724327200257786,1.2094398721518442
2.5534341849157554,2.126331659139161,1.8123509842908643,1.504033830930661,1.1557355124598998
2.5281392823622335,2.1735009629694177,1.8677365732363433,1.4960479180510822,1.2206695261376053
2.59241269182544,2.404923647320616,1.9534374411562732,1.5949190252518886,1.3916018317082934
2.3595182723310857,2.4115765915060616,1.8633583913963703,1.5965777475198293,1.321592362094132
2.495850982555137,2.175816225646191,1.7826116305443707,1.4268469124062477,0.9980371740873826
2.4927078191416703,2.0879509609897218,1.943435914330057,1.47824224677983,0.947677969335301
2.4150500676507,2.174889962344746,2.0596911360784294,1.6016485039255757,1.072824687958024
2.4700205854392205,2.3280196591441,2.0204298475581073,1.6963924296945885,1.149771789472397
